   KDKO                   KD - KRIMINALISTIČNA OZNAČBA
   359A                   ZBIRANJE PODATKOV - O
   359B                   SPOROČANJE PODATKOV - O
   359C                   IZROČANJE PODATKOV - O
   359D                   OMOGOČANJE DOSTOPA DO PODATKOV - O
   359E                   TAJNOST NA PODLAGI PREDPISA - O
   359F                   TAJNOST NA PODLAGI ODLOČBE ORGANA - O
   359G                   POSLEDICE SO NASTALE - O
   359H                   POSLEDICE BI LAHKO NASTALE - O
   359I                   OGROŽENA VARNOST DRŽAVE - O
   359J                   OGROŽENE POLITIČNE KORISTI DRŽAVE - O
   359K                   OGROŽENE GOSPODARSKE KORISTI DRŽAVE - O
   360A                   OGROŽANJE OBSTOJA RS - O
   360B                   OGROŽANJE USTAVNE UREDITVE RS - O
   360C                   OGROŽANJE VARNOSTI RS - O
   360D                   S FINANČNO POMOČJO IZ TUJINE - O
   360E                   Z MATERIALNO POMOČJO IZ TUJINE - O
   360F                   Z DRUGO POMOČJO IZ TUJINE - O
   360G                   IZDELAVA/RAZMNOŽEVANJE PROPAGANDNEGA MATERIALA - O
   360H                   HRANJENJE PROPAGANDNEGA MATERIALA - O
   360I                   RAZŠIRJANJE PROPAGANDNEGA MATERIALA - O
   362A                   SMRT OSEBE - O
   362B                   HUDO NASILJE - O
   362C                   VELIKO RAZDEJANJE - O
   363A                   NA PODLAGI OSEBNEGA POZIVA - O
   363B                   NA PODLAGI SPLOŠNEGA POZIVA - O
   363C                   IZOGIBANJE NABORU - O
   363D                   IZOGIBANJE SLUŽENJU VOJAŠKEGA ROKA - O
   363E                   IZOGIBANJE VOJAŠKI VAJI - O
   363F                   IZOGIBANJE DRUGI OBRAMBNI OBVEZNOSTI - O
   363G                   ODHOD V TUJINO - O
   363H                   NEVRNITEV V RS - O
   364A                   IZOGIBANJE SLUŽENJU VOJAŠKEGA ROKA - O
   364B                   IZOGIBANJE VOJAŠKI VAJI - O
   364C                   IZOGIBANJE DRUGI OBRAMBNI OBVEZNOSTI - O
   364D                   HLINJENJE BOLEZNI - O
   364E                   PRESLEPITEV S PONAREJENO LISTINO - O
   364F                   DRUGAČNA PRESLEPITEV - O
   364G                   SAMOPOŠKODOVANJE - O
   364H                   Z DOVOLJENJEM GA POŠKODUJE KDO DRUG - O
   364I                   BREZ DOVOLJENJA GA POŠKODUJE KDO DRUG - O
   365A                   S SILO - O
   365B                   Z GROŽNJO O UPORABI SILE - O
   365C                   PREPREČITEV OPRAVLJANJA VOJAŠKE DOLŽNOSTI - O
   365D                   PRISILA K OPRAVLJANJU VOJAŠKE DOLŽNOSTI - O
   365E                   RAZŽALITEV - O
   365F                   GRDO RAVNANJE - O
   365G                   PRIZADEJANJE LAHKE TELESNE POŠKODBE - O
   365H                   GROŽNJA Z UPORABO OROŽJA - O
   365I                   STORILEC IZZVAN Z NEZAKONITIM RAVNANJEM - O
   365J                   STORILEC IZZVAN S SUROVIM RAVNANJEM - O
   366A                   Z NAPADOM - O
   366B                   Z RESNO GROŽNJO O NAPADU - O
   366C                   GROŽNJA Z UPORABO OROŽJA - O
   366D                   GRDO RAVNANJE - O
   366E                   PRIZADEJANJE LAHKE TELESNE POŠKODBE - O
   367A                   PRI HRAMBI - O
   367B                   PRI POPRAVILU - O
   367C                   PRI OSKRBI - O
   367D                   PRI UPORABI - O
   367E                   IZGUBA - O
   367F                   UNIČENJE - O
   367G                   POŠKODOVANJE - O
   368A                   UNIČENJE SREDSTEV - O
   368B                   POVZROČITEV NERABNOSTI SREDSTEV - O
   368C                   OPUŠČANJE OBRAMBNIH UKREPOV - O
   368D                   OVIRANJE OBRAMBNIH UKREPOV - O
   369A                   MED VOJNO - O
   369B                   MED OBOROŽENIM SPOPADOM - O
   369C                   DRŽAVLJANOM RS - O
   369D                   DRŽAVLJANOM DRŽAV ZAVEZNIC RS - O
   370A                   MED VOJNO - O
   370B                   MED OBOROŽENIM SPOPADOM - O
   370C                   V SOVRAŽNIKOVI VOJSKI - O
   370D                   V DRUGIH SOVRAŽNIKOVIH OBOROŽENIH FORMACIJAH - O
   370E                   BOJ PROTI RS - O
   370F                   BOJ PROTI ZAVEZNICAM RS - O
   371A                   ZA SLUŽBO - O
   371B                   ZA BOJ - O
   371C                   ZA TUJO VOJSKO - O
   371D                   ZA DRUGE TUJE OBOROŽENE FORMACIJE - O
   371E                   ZA SOVRAŽNIKOVO VOJSKO - O
   371F                   ZA DRUGE SOVRAŽNIKOVE OBOROŽENE FORMACIJE - O
   371G                   BOJ PROTI RS - O
   371H                   BOJ PROTI ZAVEZNICAM RS - O
   372A                   PRI REKVIZICIJI - O
   372B                   PRI JEMANJU ŽIVEŽA - O
   372C                   PRI JEMANJU DRUGIH DOBRIN - O
   372D                   PRI DRUGIH UKREPIH PROTI PREBIVALSTVU - O
   372E                   POLITIČNO SODELOVANJE S SOVRAŽNIKOM - O
   372F                   GOSPODARSKO SODELOVANJE S SOVRAŽNIKOM - O
   373A                   DELNO UNIČENJE - O
   373B                   POPOLNO UNIČENJE - O
   373C                   IZDAJA UKAZA - O
   373D                   OSEBNA IZVRŠITEV - O
   373E                   POBOJ - O
   373F                   HUDO TELESNO POŠKODOVANJE - O
   373G                   ŠKODOVANJE TELESNEMU ZDRAVJU - O
   373H                   ŠKODOVANJE DUŠEVNEMU ZDRAVJU - O
   373I                   PRISILNO IZSELJEVANJE - O
   373J                   INTERNIRANJE - O
   373K                   PREPREČEVANJE ROJSTEV - O
   373L                   LOČITEV OTROK OD STARŠEV - O
   373M                   PROTI NARODNOSTNI SKUPINI - O
   373N                   PROTI ETNIČNI SKUPINI - O
   373O                   PROTI RASNI SKUPINI - O
   373P                   PROTI VERSKI SKUPINI - O
   373R                   PROTI SOCIALNI SKUPINI - O
   373S                   PROTI POLITIČNI SKUPINI - O
   387A                   SUŽENJSKO RAZMERJE - O
   387B                   DRUGO PODOBNO RAZMERJE - O
   387C                   SPRAVLJANJE V RAZMERJE - O
   387D                   IZKORIŠČANJE RAZMERJA - O
   387E                   NAKUP - O
   387F                   PRODAJA - O
   387G                   IZROČITEV DRUGI OSEBI - O
   387H                   POSREDOVANJE - O
   387I                   ŠČUVANJE ŽRTVE K PRODAJI SVOBODE - O
   387J                   ŠČUVANJE K PRODAJI SVOBODE KOGA DRUGEGA - O
   387K                   TIHOTAPSTVO OSEB IZ RS - O
   387L                   TIHOTAPSTVO OSEB V RS - O
   387M                   TIHOTAPSTVO OSEB PREKO RS - O
   388A                   ŠKODOVANJE TUJI DRŽAVI - O
   388B                   ŠKODOVANJE TUJI PRAVNI OSEBI - O
   388C                   ŠKODOVANJE MEDNARODNI ORGANIZACIJI - O
   388D                   UGRABITEV OSEBE - O
   388E                   NASILJE NAD OSEBAMI - O
   388F                   EKSPLOZIJA - O
   388G                   POŽAR - O
   388H                   DRUGO NEVARNO DEJANJE/SREDSTVO - O
   388I                   GROŽNJA Z JEDRSKO SNOVJO - O
   388J                   GROŽNJA Z DRUGIMI SREDSTVI MNOŽIČNEGA UNIČENJA - O
   388K                   NEVARNOST ZA ŽIVLJENJE LJUDI - O
   388L                   NEVARNOST ZA PREMOŽENJE - O
   388M                   SMRT ENE OSEBE - O
   388N                   SMRT VEČ OSEB - O
   389A                   RESNA GROŽNJA Z NAPADOM - O
   389B                   NAPAD - O
   389C                   NANJO - O
   389D                   URADNIH PROSTOROV - O
   389E                   ZASEBNEGA STANOVANJA - O
   389F                   PREVOZNEGA SREDSTVA - O
   389G                   UGRABITEV - O
   389H                   DRUGO NASILJE - O
   389I                   SMRT ENE OSEBE - O
   389J                   SMRT VEČ OSEB - O
   390A                   PRISILJENJE DRŽAVE - O
   390B                   PRISILJENJE MEDNARODNE ORGANIZACIJE - O
   390C                   Z GROŽNJO UBOJA - O
   390D                   Z GROŽNJO POŠKODOVANJA - O
   390E                   Z ZADRŽANJEM KOT TALCA - O
   390F                   SMRT ENE OSEBE - O
   390G                   SMRT VEČ OSEB - O
   391A                   ČLAN POSADKE - O
   391B                   ČLAN VOJAŠKE POSADKE - O
   391C                   ČLAN POSADKE JAVNEGA PLOVILA - O
   391D                   POTNIK - O
   391E                   NA LADJI - O
   391F                   NA LETALU - O
   391G                   NA ODPRTEM MORJU - O
   391H                   NA KRAJU BREZ JURISDIKCIJE - O
   391I                   UPOR IN PREVZEM OBLASTI - O
   9998                   PREGON NA PREDLOG - O
   9999                   NI OZNAKE
