   KDKO                   KD - KRIMINALISTIČNA OZNAČBA
   1872                   NA ELEKTRONSKI OGLASNI DESKI
   188A                   NEUPOŠTEVANJE PREDPISA/ODREDBE ZA PREGLED - O
   188B                   NEUPOŠTEVANJE PREDPISA/ODREDBE ZA RAZKUŽENJE - O
   188C                   NEUPOŠTEVANJE PREDPISA/ODREDBE O KARANTENI - O
   188D                   NEUPOŠTEVANJE DRUGIH UKREPOV - O
   189A                   POMOČ OPUSTIL ZDRAVNIK - O
   189B                   POMOČ OPUSTIL DRUG ZDRAVSTVENI DELAVEC - O
   189C                   POMOČ OPUŠČENA PACIENTU - O
   189D                   POMOČ OPUŠČENA DRUGEMU(POŠKODOVANCU...) - O
   190A                   MALOMARNOST ZDRAVNIKA - O
   190B                   MALOMARNOST DRUGEGA ZDRAVSTVENEGA DELAVCA - O
   191A                   ODVZEM DELA TELESA ŽIVI OSEBI - O
   191B                   ODVZEM DELA TELESA MRTVI OSEBI - O
   191C                   VSADITEV DELA TELESA - O
   191D                   TRGOVANJE S ČLOVEŠKIMI ORGANI - O
   191E                   SODELOVANJE PRI TRGOVANJU S ČLOVEŠKIMI ORGANI - O
   192A                   DEJANJE LEKARNARJA - O
   192B                   DEJANJE DRUGE OSEBE - O
   192C                   NAPAKA PRI PRIPRAVI ZDRAVILA - O
   192D                   IZDAJA NAPAČNEGA ZDRAVILA - O
   192E                   DRUGO RAVNANJE V NASPROTJU S PRAVILI ZNANOSTI/STROKE - O
   193A                   PROIZVODNJA - O
   193B                   PRODAJA - O
   193C                   DRUG NAČIN DAJANJA V PROMET - O
   1931                   ŠKODLJIVA ZDRAVILA
   1932                   DRUGA ŠKODLJIVA SREDSTVA ZA ZDRAVLJENJE
   1933                   OKUŽENA KRI
   1934                   OKUŽENO TKIVO
   194A                   PRI PROIZVODNJI BLAGA - O
   194B                   PRI PROMETU BLAGA - O
   194C                   PRI OPRAVLJANJU STORITEV - O
   194D                   NEVARNOST ZA ŽIVLJENJE - O
   194E                   NEVARNOST ZA ZDRAVJE - O
   1941                   ŽIVILA
   1942                   SREDSTVA ZA OSEBNO NEGO
   1943                   OTROŠKE IGRAČE
   1944                   DRUGI IZDELKI MNOŽIČNE POTROŠNJE
   195A                   OPUSTITEV PREGLEDA - O
   195B                   NEVESTEN PREGLED - O
   195C                   ŽIVINE - O
   195D                   MESA - O
   196A                   PROIZVODNJA MAMIL - O
   196B                   PREDELAVA MAMIL - O
   196C                   PRODAJA MAMIL - O
   196D                   PONUJANJE MAMIL NAPRODAJ - O
   196E                   NAKUP MAMIL ZARADI PRODAJE - O
   196F                   HRAMBA MAMIL - O
   196G                   PRENOS MAMIL - O
   196H                   POSREDOVANJE PRI NAKUPU ALI PRODAJI MAMIL - O
   196I                   ZDRUŽBA VEČ OSEB - O
   196J                   ORGANIZIRANJE MREŽE PREKUPČEVALCEV - O
   196K                   IZDELAVA OPREME ZA PROIZVODNJO MAMIL - O
   196L                   IZDELAVA SUBSTANC ZA PROIZVODNJO MAMIL - O
   196M                   NABAVLJANJE OPREME ZA PROIZVODNJO MAMIL - O
   196N                   NABAVLJANJE SUBSTANC ZA IZDELAVO MAMIL - O
   196O                   POSEST OPREME ZA PROIZVODNJO MAMIL - O
   196P                   POSEST SUBSTANC ZA PROIZVODNJO MAMIL - O
   196R                   DAJANJE V UPORABO OPREME ZA PROIZVODNJO MAMIL - O
   196S                   DAJANJE V UPORABO SUBSTANC ZA PROIZVODNJO MAMIL - O
   197A                   NAPELJEVANJE K UŽITKU - O
   197B                   DAJANJE MAMILA ZA UŽIVANJE - O
   197C                   DAJANJE PROSTOROV ZA UŽIVANJE NA RAZPOLAGO - O
   197D                   MLADOLETNIKU - O
   197E                   VEČ OSEBAM - O
   199A                   PODTAKNITEV OTROKA - O
   199B                   ZAMENJAVA OTROKA - O
   200A                   ODVZEM RODITELJU - O
   200B                   ODVZEM SKRBNIKU - O
   200C                   ODVZEM POSVOJITELJU - O
   200D                   ODVZEM IZ ZAVODA - O
   200E                   ODVZEM OSEBI, KATERI JE ZAUPANA - O
   200F                   ONEMOGOČANJE ODLOČBE O DODELITVI - O
   2001                   ODVZEM PO RAZVEZI ZAKONA
   2002                   ODVZEM PRED RAZVEZO ZAKONA
   2003                   ODVZEM V ČASU IZVENZAKONSKE SKUPNOSTI
   201A                   FIZIČNO ZANEMARJANJE(LAKOTA, NEHIGIENA...) - O
   201B                   VZGOJNO ZANEMARJANJE - O
   201C                   ZDRAVSTVENO ZANEMARJANJE - O
   201D                   FIZIČNO NASILJE(SUROVO RAVNANJE) - O
   201E                   PSIHIČNO NASILJE(TRPINČENJE) - O
   201F                   SILJENJE K PRETIRANEMU DELU - O
   201G                   SILJENJE K DELU, KI NI PRIMERNO ZA STAROSTI - O
   201H                   NAVAJANJE K ŠKODLJIVIM RAVNANJEM - O
   205A                   ODREKANJE PRAVICE - O
   205B                   OMEJITEV PRAVICE- O
   205C                   GLEDE SKLENITVE DELOVNEGA RAZMERJA - O
   205D                   GLEDE PRENEHANJA DELOVNEGA RAZMERJA - O
   205E                   GLEDE OSEBNEGA DOHODKA/NADOMESTILA - O
   205F                   GLEDE DELOVNEGA ČASA - O
   205G                   GLEDE ODMORA/POČITKA - O
   205H                   GLEDE DOPUSTA - O
   205I                   GLEDE DRUGE ODSOTNOSTI Z DELA - O
   205J                   GLEDE VARSTVA ŽENSK - O
   205K                   GLEDE VARSTVA MLADINE - O
   205L                   GLEDE VARSTVA INVALIDOV - O
   205M                   GLEDE NADURNEGA IN NOČNEGA DELA - O
   206A                   ODREKANJE PRAVICE - O
   206B                   OMEJITEV PRAVICE - O
   207A                   PREPREČEVANJE/ONEMOGOČANJE IZVRŠEVANJA PRAVIC - O
   207B                   ZLORABLJANJE PRAVIC - O
   207C                   OVIRANJE URESNIČEVANJA PRAVIC - O
   2071                   KRŠITEV PRAVIC DO SODELOVANJA PRI UPRAVLJANJU
   2072                   KRŠITEV SINDIKALNIH PRAVIC
   208A                   UNIČENJE VARNOSTNE NAPRAVE - O
   208B                   POŠKODOVANJE VARNOSTNE NAPRAVE - O
   208C                   ODSTRANITEV VARNOSTNE NAPRAVE - O
   208D                   VARNOSTNA NAPRAVA NI POSTAVLJENA - O
   208E                   VARNOSTNA NAPRAVA NI BREZHIBNA - O
   208F                   VARNOSTNA NAPRAVA NE DELUJE - O
   208G                   NESPOŠTOVANJE PREDPISOV/PRAVIL O VARNOSTNIH UKREPIH - O
   209A                   ODREKANJE PRAVICE - O
